                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1133,                0.62916,                 1.1278,                0.83237,                0.76315,                 0.8494,                0.60057,                  1.125,                0.56161,                 1.1495,                0.00901,                0.00901,                0.00901
                     53,                 1.1126,                0.62519,                 1.1261,                0.85703,                0.75598,                0.85348,                 0.6091,                 1.1265,                0.55849,                 1.1472,              0.0089902,              0.0089902,              0.0089902
                     54,                 1.1115,                0.62739,                 1.1311,                0.86122,                0.77701,                0.86749,                0.61362,                 1.1261,                 0.5515,                 1.1467,              0.0089704,              0.0089704,              0.0089704
                     55,                 1.1144,                0.62519,                 1.1286,                0.84968,                0.74075,                0.83661,                0.59772,                 1.1249,                 0.5564,                  1.147,              0.0089506,              0.0089506,              0.0089506
                     56,                  1.106,                0.61683,                 1.1205,                0.79605,                0.77824,                0.85457,                0.60637,                 1.1243,                0.55156,                 1.1439,              0.0089308,              0.0089308,              0.0089308
                     57,                 1.1027,                0.61509,                 1.1185,                0.81717,                0.75341,                0.83284,                0.59368,                 1.1258,                0.55734,                 1.1474,               0.008911,               0.008911,               0.008911
                     58,                 1.1025,                0.61334,                 1.1193,                0.86231,                0.75534,                 0.8548,                 0.6059,                 1.1224,                0.54947,                 1.1448,              0.0088912,              0.0088912,              0.0088912
                     59,                 1.0999,                0.61278,                 1.1195,                0.72201,                0.82854,                0.85101,                0.61581,                 1.1223,                0.55517,                 1.1437,              0.0088714,              0.0088714,              0.0088714
                     60,                 1.1026,                0.60941,                 1.1188,                0.82439,                0.77736,                0.85729,                0.60977,                 1.1149,                0.54732,                 1.1415,              0.0088516,              0.0088516,              0.0088516
                     61,                 1.0972,                 0.6024,                  1.114,                0.85043,                0.76041,                0.88234,                0.62705,                 1.1193,                0.54765,                 1.1423,              0.0088318,              0.0088318,              0.0088318
                     62,                 1.0943,                0.60798,                  1.115,                0.87186,                0.76422,                0.84858,                0.61403,                 1.1177,                0.55134,                 1.1399,               0.008812,               0.008812,               0.008812
                     63,                  1.093,                0.60739,                 1.1116,                0.73142,                0.85417,                0.86151,                0.61956,                 1.1189,                0.55301,                 1.1401,              0.0087922,              0.0087922,              0.0087922
                     64,                  1.086,                0.59933,                 1.1095,                0.84545,                0.78883,                0.85992,                0.60807,                  1.118,                0.54858,                 1.1396,              0.0087724,              0.0087724,              0.0087724
                     65,                  1.095,                0.60444,                  1.111,                 0.8332,                0.79608,                0.86563,                0.61526,                 1.1143,                0.54703,                 1.1396,              0.0087526,              0.0087526,              0.0087526
                     66,                 1.0838,                0.59529,                 1.1098,                0.74229,                0.82975,                0.85506,                0.61217,                 1.1145,                0.54236,                 1.1388,              0.0087328,              0.0087328,              0.0087328
                     67,                 1.0874,                0.60018,                 1.1074,                0.77596,                0.80484,                0.85625,                0.61478,                 1.1138,                0.54242,                 1.1382,               0.008713,               0.008713,               0.008713
                     68,                 1.0837,                0.59304,                 1.1089,                0.80135,                0.82049,                0.86042,                0.61282,                 1.1144,                0.54177,                 1.1379,              0.0086932,              0.0086932,              0.0086932
                     69,                 1.0809,                0.58917,                 1.1086,                0.82183,                0.79717,                0.86791,                0.62716,                 1.1139,                0.54188,                 1.1397,              0.0086734,              0.0086734,              0.0086734
                     70,                  1.081,                0.58845,                 1.1041,                0.73706,                0.85086,                0.87425,                0.62789,                  1.116,                0.54065,                 1.1409,              0.0086536,              0.0086536,              0.0086536
                     71,                 1.0788,                0.59119,                 1.1093,                0.78767,                0.82812,                0.85992,                0.62116,                 1.1128,                0.53995,                 1.1413,              0.0086338,              0.0086338,              0.0086338
                     72,                 1.0737,                0.58664,                 1.1042,                0.82861,                0.78197,                0.85759,                0.61606,                 1.1131,                 0.5348,                 1.1387,               0.008614,               0.008614,               0.008614
                     73,                 1.0753,                0.58603,                 1.1033,                0.88635,                0.75597,                0.85244,                0.60622,                 1.1136,                0.53933,                 1.1417,              0.0085942,              0.0085942,              0.0085942
                     74,                 1.0743,                0.58438,                 1.0995,                0.88407,                0.75494,                0.86411,                0.61913,                 1.1149,                0.53939,                 1.1418,              0.0085744,              0.0085744,              0.0085744
                     75,                 1.0721,                0.57937,                 1.1004,                0.78605,                 0.7988,                0.87454,                0.62918,                 1.1122,                0.53987,                 1.1399,              0.0085546,              0.0085546,              0.0085546
                     76,                 1.0651,                0.57818,                 1.1007,                0.81569,                0.82799,                0.87579,                0.62854,                  1.111,                0.54136,                 1.1406,              0.0085348,              0.0085348,              0.0085348
                     77,                 1.0654,                0.58004,                 1.1007,                0.72368,                0.87008,                0.88212,                0.64045,                 1.1084,                0.53701,                 1.1376,               0.008515,               0.008515,               0.008515
                     78,                 1.0664,                0.57739,                  1.105,                0.83562,                0.80818,                0.88327,                0.63454,                 1.1085,                0.53708,                 1.1393,              0.0084952,              0.0084952,              0.0084952
                     79,                 1.0656,                0.57667,                 1.0969,                0.84885,                0.81417,                0.87645,                0.62823,                 1.1102,                0.53567,                 1.1419,              0.0084754,              0.0084754,              0.0084754
                     80,                 1.0589,                0.57165,                 1.0945,                0.83373,                0.82208,                0.87727,                0.63131,                 1.1106,                0.53664,                 1.1431,              0.0084556,              0.0084556,              0.0084556
                     81,                 1.0607,                0.57337,                 1.0969,                0.83906,                 0.8085,                0.88241,                 0.6363,                 1.1093,                0.53656,                 1.1421,              0.0084358,              0.0084358,              0.0084358
                     82,                 1.0586,                0.57225,                 1.0959,                  0.828,                0.84574,                0.88588,                0.63347,                 1.1072,                 0.5363,                 1.1408,               0.008416,               0.008416,               0.008416
                     83,                 1.0606,                0.56857,                  1.099,                0.81208,                0.82606,                0.88112,                0.63621,                 1.1084,                 0.5367,                 1.1417,              0.0083962,              0.0083962,              0.0083962
                     84,                 1.0546,                0.57017,                 1.0938,                0.88473,                0.79233,                0.88484,                0.63886,                 1.1095,                0.53666,                 1.1411,              0.0083764,              0.0083764,              0.0083764
                     85,                 1.0521,                0.56615,                 1.0932,                0.84506,                0.82963,                0.88809,                0.63995,                  1.109,                0.53712,                 1.1417,              0.0083566,              0.0083566,              0.0083566
                     86,                  1.049,                0.56323,                 1.0932,                0.87105,                0.79417,                 0.8828,                0.63194,                 1.1098,                0.53731,                 1.1436,              0.0083368,              0.0083368,              0.0083368
                     87,                 1.0489,                0.56213,                 1.0896,                 0.7772,                0.84578,                0.89177,                0.63548,                  1.109,                0.53444,                 1.1436,               0.008317,               0.008317,               0.008317
                     88,                  1.049,                0.56363,                 1.0879,                 0.8017,                0.82897,                0.88583,                0.63726,                 1.1093,                0.53487,                 1.1441,              0.0082972,              0.0082972,              0.0082972
                     89,                 1.0526,                0.56319,                 1.0917,                0.86084,                0.78924,                0.87752,                0.64267,                 1.1091,                0.53239,                 1.1442,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.0471,                0.55881,                 1.0893,                0.83663,                 0.8328,                0.88863,                0.65169,                 1.1095,                0.53192,                 1.1452,              0.0082576,              0.0082576,              0.0082576
                     91,                  1.039,                0.55257,                 1.0871,                0.78722,                0.84394,                0.88569,                0.64513,                 1.1084,                0.53166,                 1.1449,              0.0082378,              0.0082378,              0.0082378
                     92,                 1.0377,                0.55302,                 1.0867,                0.77654,                0.84683,                0.88175,                0.64513,                 1.1069,                0.53061,                 1.1443,               0.008218,               0.008218,               0.008218
